task,strategy,input,prompt,response,tokens_total,execution_time
Summarization,Zero-shot,"The James Webb Space Telescope (JWST) has captured its first direct image of a planet outside our solar system. The exoplanet, HIP 65426 b, is a gas giant about six to 12 times the mass of Jupiter. It is young, about 15 to 20 million years old, compared to our 4.5-billion-year-old Earth. Astronomers used four different light filters on JWST’s Near-Infrared Camera (NIRCam) and Mid-Infrared Instrument (MIRI) to capture the planet.","Summarize the following text in 2-3 sentences:

The James Webb Space Telescope (JWST) has captured its first direct image of a planet outside our solar system. The exoplanet, HIP 65426 b, is a gas giant about six to 12 times the mass of Jupiter. It is young, about 15 to 20 million years old, compared to our 4.5-billion-year-old Earth. Astronomers used four different light filters on JWST’s Near-Infrared Camera (NIRCam) and Mid-Infrared Instrument (MIRI) to capture the planet.",,231,1.4995720386505127
Summarization,Zero-shot,"Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that, through cellular respiration, can later be released to fuel the organism's activities. This chemical energy is stored in carbohydrate molecules, such as sugars, which are synthesized from carbon dioxide and water – hence the name photosynthesis, from the Greek phēs, 'light', and sunthesis, 'putting together'.","Summarize the following text in 2-3 sentences:

Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that, through cellular respiration, can later be released to fuel the organism's activities. This chemical energy is stored in carbohydrate molecules, such as sugars, which are synthesized from carbon dioxide and water – hence the name photosynthesis, from the Greek phēs, 'light', and sunthesis, 'putting together'.",,201,1.2090480327606201
Summarization,Zero-shot,"The Great Wall of China is a series of fortifications that were built across the historical northern borders of ancient Chinese states and Imperial China as protection against various nomadic groups from the Eurasian Steppe. Several walls were built from as early as the 7th century BC, with select stretches later joined together by Qin Shi Huang (220–206 BC), the first emperor of China. Little of the Qin wall remains.","Summarize the following text in 2-3 sentences:

The Great Wall of China is a series of fortifications that were built across the historical northern borders of ancient Chinese states and Imperial China as protection against various nomadic groups from the Eurasian Steppe. Several walls were built from as early as the 7th century BC, with select stretches later joined together by Qin Shi Huang (220–206 BC), the first emperor of China. Little of the Qin wall remains.",,203,1.2380039691925049
Summarization,Zero-shot,"Artificial intelligence (AI) is intelligence demonstrated by machines, as opposed to the natural intelligence displayed by animals including humans. AI research has been defined as the field of study of intelligent agents, which refers to any system that perceives its environment and takes actions that maximize its chance of achieving its goals.","Summarize the following text in 2-3 sentences:

Artificial intelligence (AI) is intelligence demonstrated by machines, as opposed to the natural intelligence displayed by animals including humans. AI research has been defined as the field of study of intelligent agents, which refers to any system that perceives its environment and takes actions that maximize its chance of achieving its goals.",,178,1.1249268054962158
Summarization,Zero-shot,"The internet is a global system of interconnected computer networks that uses the Internet protocol suite (TCP/IP) to communicate between networks and devices. It is a network of networks that consists of private, public, academic, business, and government networks of local to global scope, linked by a broad array of electronic, wireless, and optical networking technologies.","Summarize the following text in 2-3 sentences:

The internet is a global system of interconnected computer networks that uses the Internet protocol suite (TCP/IP) to communicate between networks and devices. It is a network of networks that consists of private, public, academic, business, and government networks of local to global scope, linked by a broad array of electronic, wireless, and optical networking technologies.",,187,1.125337839126587
Summarization,Zero-shot,"Climate change includes both global warming driven by human-induced emissions of greenhouse gases and the resulting large-scale shifts in weather patterns. Though there have been previous periods of climatic change, since the mid-20th century humans have had an unprecedented impact on Earth's climate system and caused change on a global scale.","Summarize the following text in 2-3 sentences:

Climate change includes both global warming driven by human-induced emissions of greenhouse gases and the resulting large-scale shifts in weather patterns. Though there have been previous periods of climatic change, since the mid-20th century humans have had an unprecedented impact on Earth's climate system and caused change on a global scale.",,178,1.3673417568206787
Summarization,Zero-shot,"The human brain is the central organ of the human nervous system, and with the spinal cord makes up the central nervous system. The brain consists of the cerebrum, the brainstem and the cerebellum. It controls most of the activities of the body, processing, integrating, and coordinating the information it receives from the sense organs, and making decisions as to the instructions sent to the rest of the body.","Summarize the following text in 2-3 sentences:

The human brain is the central organ of the human nervous system, and with the spinal cord makes up the central nervous system. The brain consists of the cerebrum, the brainstem and the cerebellum. It controls most of the activities of the body, processing, integrating, and coordinating the information it receives from the sense organs, and making decisions as to the instructions sent to the rest of the body.",,202,1.2807369232177734
Summarization,Zero-shot,"Python is a high-level, general-purpose programming language. Its design philosophy emphasizes code readability with the use of significant indentation. Python is dynamically typed and garbage-collected. It supports multiple programming paradigms, including structured (particularly procedural), object-oriented and functional programming.","Summarize the following text in 2-3 sentences:

Python is a high-level, general-purpose programming language. Its design philosophy emphasizes code readability with the use of significant indentation. Python is dynamically typed and garbage-collected. It supports multiple programming paradigms, including structured (particularly procedural), object-oriented and functional programming.",,171,1.1685080528259277
Summarization,Zero-shot,"Democracy is a form of government in which the people have the authority to deliberate and decide legislation, or to choose governing officials to do so. Who is considered part of 'the people' and how authority is shared among or delegated by the people has changed over time and at different rates in different countries.","Summarize the following text in 2-3 sentences:

Democracy is a form of government in which the people have the authority to deliberate and decide legislation, or to choose governing officials to do so. Who is considered part of 'the people' and how authority is shared among or delegated by the people has changed over time and at different rates in different countries.",,180,1.0933701992034912
Summarization,Zero-shot,"Quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles. It is the foundation of all quantum physics including quantum chemistry, quantum field theory, quantum technology, and quantum information science.","Summarize the following text in 2-3 sentences:

Quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles. It is the foundation of all quantum physics including quantum chemistry, quantum field theory, quantum technology, and quantum information science.",,171,1.2240350246429443
Summarization,Few-shot,"The James Webb Space Telescope (JWST) has captured its first direct image of a planet outside our solar system. The exoplanet, HIP 65426 b, is a gas giant about six to 12 times the mass of Jupiter. It is young, about 15 to 20 million years old, compared to our 4.5-billion-year-old Earth. Astronomers used four different light filters on JWST’s Near-Infrared Camera (NIRCam) and Mid-Infrared Instrument (MIRI) to capture the planet.","Text: Apple Inc. is an American multinational technology company headquartered in Cupertino, California. Apple is the world's largest technology company by revenue.
Summary: Apple is a major US tech company based in Cupertino. It is the largest tech company by revenue globally.

Text: The koala is an arboreal herbivorous marsupial native to Australia. It is the only extant representative of the family Phascolarctidae.
Summary: The koala is a tree-dwelling plant-eating marsupial from Australia. It represents the only living member of its family.

Text: The James Webb Space Telescope (JWST) has captured its first direct image of a planet outside our solar system. The exoplanet, HIP 65426 b, is a gas giant about six to 12 times the mass of Jupiter. It is young, about 15 to 20 million years old, compared to our 4.5-billion-year-old Earth. Astronomers used four different light filters on JWST’s Near-Infrared Camera (NIRCam) and Mid-Infrared Instrument (MIRI) to capture the planet.
Summary:",,338,2.1113481521606445
Summarization,Few-shot,"Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that, through cellular respiration, can later be released to fuel the organism's activities. This chemical energy is stored in carbohydrate molecules, such as sugars, which are synthesized from carbon dioxide and water – hence the name photosynthesis, from the Greek phēs, 'light', and sunthesis, 'putting together'.","Text: Apple Inc. is an American multinational technology company headquartered in Cupertino, California. Apple is the world's largest technology company by revenue.
Summary: Apple is a major US tech company based in Cupertino. It is the largest tech company by revenue globally.

Text: The koala is an arboreal herbivorous marsupial native to Australia. It is the only extant representative of the family Phascolarctidae.
Summary: The koala is a tree-dwelling plant-eating marsupial from Australia. It represents the only living member of its family.

Text: Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that, through cellular respiration, can later be released to fuel the organism's activities. This chemical energy is stored in carbohydrate molecules, such as sugars, which are synthesized from carbon dioxide and water – hence the name photosynthesis, from the Greek phēs, 'light', and sunthesis, 'putting together'.
Summary:",,308,1.2761991024017334
Summarization,Few-shot,"The Great Wall of China is a series of fortifications that were built across the historical northern borders of ancient Chinese states and Imperial China as protection against various nomadic groups from the Eurasian Steppe. Several walls were built from as early as the 7th century BC, with select stretches later joined together by Qin Shi Huang (220–206 BC), the first emperor of China. Little of the Qin wall remains.","Text: Apple Inc. is an American multinational technology company headquartered in Cupertino, California. Apple is the world's largest technology company by revenue.
Summary: Apple is a major US tech company based in Cupertino. It is the largest tech company by revenue globally.

Text: The koala is an arboreal herbivorous marsupial native to Australia. It is the only extant representative of the family Phascolarctidae.
Summary: The koala is a tree-dwelling plant-eating marsupial from Australia. It represents the only living member of its family.

Text: The Great Wall of China is a series of fortifications that were built across the historical northern borders of ancient Chinese states and Imperial China as protection against various nomadic groups from the Eurasian Steppe. Several walls were built from as early as the 7th century BC, with select stretches later joined together by Qin Shi Huang (220–206 BC), the first emperor of China. Little of the Qin wall remains.
Summary:",,310,2.254204034805298
Summarization,Few-shot,"Artificial intelligence (AI) is intelligence demonstrated by machines, as opposed to the natural intelligence displayed by animals including humans. AI research has been defined as the field of study of intelligent agents, which refers to any system that perceives its environment and takes actions that maximize its chance of achieving its goals.","Text: Apple Inc. is an American multinational technology company headquartered in Cupertino, California. Apple is the world's largest technology company by revenue.
Summary: Apple is a major US tech company based in Cupertino. It is the largest tech company by revenue globally.

Text: The koala is an arboreal herbivorous marsupial native to Australia. It is the only extant representative of the family Phascolarctidae.
Summary: The koala is a tree-dwelling plant-eating marsupial from Australia. It represents the only living member of its family.

Text: Artificial intelligence (AI) is intelligence demonstrated by machines, as opposed to the natural intelligence displayed by animals including humans. AI research has been defined as the field of study of intelligent agents, which refers to any system that perceives its environment and takes actions that maximize its chance of achieving its goals.
Summary:",,285,1.2518672943115234
